,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
122,0,1.0,733399,120399,2,1.0,2014,7.0
123,0,1.0,967599,28853,2,2.0,2018,1.0
124,0,1.0,1539299,9811,1,2.0,2020,3.0
125,0,1.0,561499,43538,1,2.0,2015,2.0
126,0,1.0,1042699,66400,1,2.0,2017,2.0
127,0,1.0,1032099,59341,2,2.0,2017,1.0
128,0,1.0,903499,56246,1,2.0,2016,2.0
129,0,1.0,472499,35944,1,2.0,2014,3.0
130,0,1.0,771299,17699,1,2.0,2018,3.0
131,0,1.0,447099,41065,1,2.0,2017,1.0
132,0,1.0,504599,2311,1,2.0,2019,6.0
133,0,1.0,620999,2991,1,2.0,2018,2.0
134,0,1.0,433999,29762,1,2.0,2015,2.0
135,0,1.0,627499,91917,2,2.0,2016,14.0
136,1,9.0,360000,0,2,0.0,2014,1.0
137,1,1.0,1375000,131000,2,0.0,2012,8.0
138,1,1.0,69000,85000,1,0.0,2000,1.0
139,1,1.0,89000,37000,1,0.0,2011,5.0
140,1,1.0,89000,67000,2,0.0,2011,5.0
144,0,1.0,504599,2311,1,2.0,2019,6.0
145,0,1.0,704199,30771,1,2.0,2018,1.0
146,0,1.0,513099,29488,1,2.0,2018,2.0
147,0,1.0,469399,36559,1,2.0,2019,6.0
148,0,1.0,844199,38242,2,2.0,2018,3.0
149,0,1.0,544799,66426,1,1.0,2017,1.0
150,0,1.0,710899,16950,1,2.0,2018,10.0
151,0,1.0,580599,18866,1,2.0,2016,1.0
152,0,1.0,638499,53245,2,1.0,2017,1.0
153,0,1.0,654699,44543,1,1.0,2016,2.0
154,0,1.0,894199,50128,2,1.0,2018,1.0
155,0,1.0,858599,56349,2,2.0,2018,1.0
156,0,1.0,992199,69524,2,2.0,2017,1.0
157,0,1.0,714999,41218,1,1.0,2017,10.0
158,0,1.0,765599,9085,1,1.0,2020,1.0
159,0,1.0,1800299,11292,2,2.0,2019,9.0
160,1,6.0,1190000,75000,2,2.0,2011,18.0
161,1,7.0,1452000,28000,2,0.0,2018,2.0
162,1,7.0,1026000,48000,2,0.0,2018,14.0
163,1,7.0,821000,51000,2,0.0,2017,1.0
164,1,1.0,725000,24990,1,0.0,2020,2.0
165,1,9.0,600000,48600,2,1.0,2015,1.0
166,1,9.0,336000,3600,1,1.0,2019,1.0
167,1,30.0,200000,115000,2,0.0,2012,5.0
168,0,1.0,680699,29594,1,2.0,2019,1.0
169,0,1.0,714899,55953,1,1.0,2015,3.0
170,0,1.0,316799,16980,1,1.0,2016,1.0
171,0,1.0,675099,41828,2,2.0,2016,4.0
172,0,1.0,1057399,64803,2,2.0,2018,1.0
173,0,1.0,938099,44460,2,2.0,2018,1.0
174,0,1.0,1057699,14276,2,2.0,2018,5.0
175,0,1.0,610099,23425,1,2.0,2019,1.0
176,0,1.0,452199,23056,1,2.0,2018,1.0
177,0,1.0,712699,16102,1,2.0,2019,2.0
178,0,1.0,838699,56615,2,1.0,2019,1.0
179,0,1.0,666899,70317,2,1.0,2015,7.0
180,0,1.0,1681899,6760,1,2.0,2020,9.0
181,0,1.0,1854599,8870,1,2.0,2020,9.0
182,0,1.0,571499,78209,1,1.0,2016,1.0
183,0,1.0,589199,64292,1,2.0,2015,10.0
186,1,7.0,445000,141000,2,0.0,2011,8.0
187,1,29.0,1231000,82000,2,0.0,2017,25.0
188,1,31.0,1231000,117000,2,2.0,2012,8.0
189,1,1.0,600000,70000,2,0.0,2015,7.0
190,1,1.0,320000,89450,2,2.0,2011,2.0
191,1,6.0,1175000,29000,1,0.0,2020,1.0
192,0,1.0,351699,58771,1,2.0,2015,1.0
193,0,1.0,299199,53266,1,2.0,2016,1.0
194,0,1.0,657199,9200,1,2.0,2019,3.0
195,0,1.0,539299,61721,1,2.0,2014,4.0
196,0,1.0,608399,18333,1,2.0,2017,2.0
197,0,1.0,1042799,51780,1,2.0,2019,4.0
198,0,1.0,645199,30854,1,2.0,2018,1.0
199,0,1.0,811899,24680,1,2.0,2017,4.0
200,0,1.0,557799,85663,1,1.0,2015,10.0
201,0,1.0,873999,20541,2,2.0,2021,7.0
202,0,1.0,278299,64182,1,1.0,2010,2.0
203,0,1.0,986399,58819,2,2.0,2017,1.0
204,0,1.0,610099,32057,1,2.0,2019,1.0
205,0,1.0,1749899,18403,1,2.0,2018,11.0
206,0,1.0,443899,7877,1,2.0,2018,1.0
207,0,1.0,936299,15509,1,2.0,2018,2.0
208,1,6.0,850000,15000,1,0.0,2018,3.0
209,1,6.0,595000,75000,2,0.0,2017,1.0
210,1,6.0,175000,62000,1,0.0,2008,2.0
211,1,1.0,930000,134500,2,0.0,2018,2.0
212,1,32.0,1500000,63896,2,0.0,2012,8.0
213,1,1.0,159000,90000,2,0.0,2005,7.0
214,1,1.0,69000,58000,1,0.0,2007,1.0
215,1,1.0,69000,85000,2,0.0,2008,4.0
216,0,1.0,580599,48329,1,1.0,2016,1.0
217,0,1.0,404499,21301,1,2.0,2019,6.0
218,0,1.0,838699,34566,2,2.0,2019,1.0
219,0,1.0,446499,34297,1,2.0,2018,6.0
220,0,1.0,1047499,119571,2,2.0,2017,5.0
221,0,1.0,345599,27957,1,2.0,2018,1.0
222,0,1.0,784399,27210,1,2.0,2018,4.0
223,0,1.0,489399,21610,1,2.0,2014,1.0
224,0,1.0,627499,40902,1,2.0,2017,1.0
225,0,1.0,288399,11057,1,2.0,2015,1.0
226,0,1.0,573999,72505,1,2.0,2016,1.0
227,0,1.0,1373699,31338,1,1.0,2018,2.0
228,0,1.0,279799,28674,1,2.0,2016,1.0
229,0,1.0,658199,25416,1,1.0,2018,2.0
230,0,1.0,465499,14765,1,2.0,2016,2.0
231,0,1.0,563999,60380,2,1.0,2015,8.0
232,1,1.0,59000,85000,1,0.0,2001,2.0
233,1,1.0,119000,73000,1,0.0,2006,2.0
234,1,1.0,69000,85000,1,0.0,2004,2.0
235,1,1.0,89000,85000,1,0.0,2002,2.0
236,1,1.0,129000,86000,2,0.0,2012,4.0
